-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2000 through 12/31/2024 in LST
Location: latitude  32.9348   longitude 72.8576 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 448.45 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface Total PAR (kW-hr/m^2/day) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
WS10M                   MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
PS                      MERRA-2 Surface Pressure (kPa) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PSC                     MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
WSC                     MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Crop: 20-m broadleaf-deciduous trees (10%) & wheat (vegtype_12) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_PAR_TOT,T2M,T2M_MAX,T2M_MIN,TS,T2MWET,RH2M,PRECTOTCORR,T2MDEW,WS10M,WS10M_MAX,PS,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UV_INDEX,QV2M,PSC,WSC
2000,1,1,3.52,3.36,-999.0,0.94,-999.0,1.59,14.45,23.16,9.6,10.92,2.69,18.87,0.0,-9.07,1.75,2.52,96.58,6.34,-999.0,1.91,90.85,1.41
2000,1,2,3.64,3.51,-999.0,0.78,-999.0,1.63,14.17,22.86,8.1,10.93,2.27,18.64,0.0,-9.62,1.89,2.59,96.53,6.16,-999.0,1.82,90.8,1.55
2000,1,3,3.69,3.63,-999.0,0.76,-999.0,1.64,13.47,22.59,7.64,10.78,2.05,19.75,0.0,-9.38,2.17,2.62,96.35,6.06,-999.0,1.86,90.62,1.82
2000,1,4,3.65,3.56,-999.0,0.83,-999.0,1.63,13.71,22.21,7.71,10.46,2.5,20.63,0.0,-8.71,1.61,2.67,96.32,6.0,-999.0,1.98,90.59,1.3
2000,1,5,3.01,3.13,-999.0,1.5,-999.0,1.45,13.21,22.04,7.82,10.43,2.37,21.74,0.0,-8.48,1.69,2.93,96.47,6.49,-999.0,2.01,90.73,1.39
2000,1,6,2.82,3.13,-999.0,1.7,-999.0,1.35,13.4,21.85,7.29,10.51,2.41,21.47,0.0,-8.58,2.45,3.93,96.41,6.81,-999.0,2.0,90.67,2.01
2000,1,7,1.9,3.46,-999.0,1.65,-999.0,0.96,14.07,21.84,9.11,11.43,2.3,18.58,0.0,-9.47,1.79,2.94,96.34,7.55,-999.0,1.85,90.62,1.57
2000,1,8,2.22,3.51,-999.0,2.05,-999.0,1.12,15.52,21.52,10.18,14.13,6.02,27.17,0.0,-3.48,1.42,2.94,96.26,7.52,-999.0,3.08,90.57,1.27
2000,1,9,3.53,3.4,-999.0,1.07,-999.0,1.64,14.46,21.53,8.24,12.61,5.48,32.96,0.11,-3.5,2.23,3.04,96.06,7.04,-999.0,3.18,90.36,1.85
2000,1,10,3.01,3.39,-999.0,1.58,-999.0,1.45,12.63,19.62,6.01,11.24,6.62,45.12,0.05,0.62,2.78,3.76,96.19,6.9,-999.0,4.21,90.44,2.45
2000,1,11,0.85,3.67,-999.0,0.72,-999.0,0.38,9.99,11.08,8.31,9.75,7.19,69.84,0.75,4.38,4.16,6.5,96.3,7.98,-999.0,5.54,90.5,3.58
2000,1,12,0.55,3.68,-999.0,0.35,-999.0,0.21,9.47,11.32,7.96,9.33,8.75,90.83,24.75,8.04,3.12,5.0,95.92,7.59,-999.0,7.0,90.13,2.9
2000,1,13,1.16,3.7,-999.0,1.18,-999.0,0.65,9.11,11.9,5.66,8.96,7.71,83.41,12.72,6.32,2.34,5.02,95.89,7.59,-999.0,6.27,90.1,2.07
2000,1,14,0.89,3.73,-999.0,0.71,-999.0,0.4,7.24,12.97,2.8,7.36,4.34,70.84,0.01,1.43,2.3,3.56,95.96,7.4,-999.0,4.53,90.13,2.33
